Ident,Type,Origin,Origin Name,Origin City,Destination,Destination Name,Destination City,Departure Time,Arrival Time,Enroute
EGF3284,E135/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KCHA,Lovell Field,"Chattanooga, TN",7/11/13 0:41,7/11/13 2:21,1:40
EGF2927,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KABI,Abilene Rgnl,"Abilene, TX",7/11/13 0:41,7/11/13 1:09,0:28
EGF3261,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KJLN,Joplin Rgnl,"Joplin, MO",7/11/13 0:41,7/11/13 1:38,0:57
AAL1396,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KMCI,Kansas City Intl,"Kansas City, MO",7/11/13 0:42,7/11/13 1:50,1:08
AAL2116,MD80/Q ,KLBB,Lubbock Smith Intl,"Lubbock, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:43,7/11/13 1:25,0:42
AAL2001,MD80/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KELP,El Paso Intl,"El Paso, TX",7/11/13 0:43,7/11/13 1:53,1:10
AAL885,MD80/Q ,KSAT,San Antonio Intl,"San Antonio, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:44,7/11/13 1:31,0:47
MRA655,C208/A ,KTYR,Tyler Pounds Rgnl,"Tyler, TX",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:45,7/11/13 1:27,0:42
EGF3109,E145/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",MMAS,Lic. Jesus Teran Peredo Int'l,"Aguascalientes, Aguascalientes",7/11/13 0:45,7/11/13 2:32,1:47
EGF3142,E135/Q ,KCID,The Eastern Iowa,"Cedar Rapids, IA",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:45,7/11/13 2:25,1:40
ASQ5203,CRJ2/Q ,KMEM,Memphis Intl,"Memphis, TN",KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",7/11/13 0:45,7/11/13 1:53,1:08
AAL534,B738/Q ,KDFW,Dallas/Fort Worth Intl,"Dallas-Fort Worth, TX",KTUL,Tulsa Intl,"Tulsa, OK",7/11/13 0:46,7/11/13 1:26,0:40
